valor,rsi,b7l,b7u,b21l,b21u,ema100,ema200
"[139.940195, 44.160799699034605, 139.763706685364, 140.14620617177894, 139.75961276614117, 140.3333619957636, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.935165, 42.99843014128961, 139.7626763536356, 140.14579936065016, 139.75890560188193, 140.33359011240375, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.945725, 45.513459621138104, 139.76482240471782, 140.14667045242513, 139.76036467850525, 140.33313675006616, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.954815, 47.92650918634896, 139.7666173896467, 140.1474726103534, 139.76154215589855, 140.3328249869586, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.956915, 48.52081488042588, 139.76702514469, 140.14766485531007, 139.76180378846354, 140.33276335439362, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.954035, 47.70945828252878, 139.7664652739592, 140.14740186889802, 139.76144398236733, 140.33284887477555, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.955535, 67.3346209560583, 139.77149017017453, 140.15468554411123, 139.74886227907132, 140.3236553399763, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.953195, 66.4805825242665, 139.77103530474307, 140.1544718381141, 139.74856998092415, 140.32372478098065, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.952195, 65.94703049758462, 139.77083993772973, 140.15438149084176, 139.74844359707075, 140.3237559267388, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.948945, 64.27062964411736, 139.77020094917458, 140.15409190796834, 139.74802678090472, 140.32386321909533, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.948525, 64.06018554610705, 139.7701179212965, 140.15405493584643, 139.74797223908755, 140.32387776091244, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.949045, 64.32093933464279, 139.7702207025193, 140.15410072605218, 139.74803974425512, 140.3238597795544, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.956755, 67.65221549250441, 139.7717260462226, 140.15479823949178, 139.74901275981003, 140.3236210497138, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.955475, 67.31884057971104, 139.77147854713596, 140.15468002429267, 139.7488548445134, 140.32365706024854, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.953515, 66.65314730694695, 139.7710976983078, 140.1545008731208, 139.74861023793787, 140.32371500015742, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.953515, 66.65314730694695, 139.7710976983078, 140.1545008731208, 139.74861023793787, 140.32371500015742, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.955495, 67.32410239897213, 139.77148242171725, 140.15468186399713, 139.74885732305205, 140.3236564864718, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.956615, 67.61608425083658, 139.77169902294162, 140.1547852627727, 139.74899555822196, 140.32362491796857, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.956925, 67.69598089932572, 139.77175884470384, 140.15481401243912, 139.74903362419855, 140.32361637580146, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.958425, 68.07707432166762, 139.7720475058243, 140.15495392274718, 139.74921661587928, 140.3235762412636, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.955925, 67.43682310469418, 139.7715656683443, 140.15472147451288, 139.74891052632597, 140.32364423557885, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.954255, 66.99463327369925, 139.77124175325196, 140.1545682467481, 139.74870298702075, 140.32369272726498, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.948715, 64.15521549031362, 139.77015549429774, 140.15407164855947, 139.74799693192278, 140.32387116331535, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.938215, 59.29427045750326, 139.76804755502963, 140.1531795878276, 139.7465850230206, 140.32428307221755, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.943045, 61.43551401869652, 139.76902517212983, 140.15358197072737, 139.74724644867092, 140.3240816465672, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.942045, 60.9795918367375, 139.76882387861224, 140.15349754995924, 139.74711117506118, 140.3241216820817, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.938525, 59.427207637230715, 139.76811070690331, 140.15320500738244, 139.74662808416446, 140.32426953488317, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.936235, 58.45902105862714, 139.76764288606915, 140.1530185425023, 139.74630801957994, 140.32437150422965, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.939875, 60.01314636283962, 139.76838507401567, 140.15331635455584, 139.746814634833, 140.32421155564325, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.941905, 60.916302172135836, 139.7687956511424, 140.15348577742907, 139.74709216718978, 140.3241273566198, 140.071442, 140.1492, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
