datetime,pontos,valor,rsi,b7l,b7u,b21l,b21u,ema100,ema200
"[datetime.datetime(2023, 2, 17, 8, 45, 10, 651974), -1, 1.193545, 43.97590361445767, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938616500000006, 1.1935385500000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 11, 680077), -1, 1.193595, 47.15909090908417, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938621500000006, 1.1935388000000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 12, 707242), -1, 1.193595, 47.15909090908417, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938621500000006, 1.1935388000000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 13, 725934), -1, 1.193555, 44.64285714284675, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938617500000006, 1.1935386000000006, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 14, 743949), -1, 1.19355, 44.31137724551105, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938617000000007, 1.1935385750000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 15, 773844), -1, 1.193535, 43.29268292682448, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938615500000005, 1.1935385000000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 16, 792235), -1, 1.19354, 43.63636363636119, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938616000000006, 1.1935385250000006, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 17, 816072), -1, 1.193565, 45.294117647052985, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938618500000007, 1.1935386500000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 18, 832753), -1, 1.19356, 44.97041420117535, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938618000000008, 1.1935386250000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 19, 851804), -1, 1.193565, 45.294117647052985, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938618500000007, 1.1935386500000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 20, 868660), -1, 1.193565, 45.294117647052985, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938618500000007, 1.1935386500000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 21, 889577), -1, 1.193495, 40.384615384606626, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938611500000007, 1.1935383000000006, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 22, 905720), -1, 1.19348, 39.215686274510375, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938610000000005, 1.1935382250000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 23, 924526), -1, 1.193505, 41.13924050632555, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938612500000005, 1.1935383500000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 24, 941186), -1, 1.193515, 41.875000000001386, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938613500000006, 1.1935384000000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 25, 973567), -1, 1.19357, 45.614035087715656, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938619000000006, 1.1935386750000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 27, 4712), -1, 1.193545, 43.97590361445767, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938616500000006, 1.1935385500000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 32, 453862), -1, 1.1936, 47.45762711863939, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938622000000008, 1.1935388250000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 33, 485638), -1, 1.193575, 45.93023255813804, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938619500000005, 1.1935387000000006, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 34, 505391), -1, 1.193575, 45.93023255813804, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938619500000005, 1.1935387000000006, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 35, 522910), -1, 1.193575, 45.93023255813804, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938619500000005, 1.1935387000000006, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 36, 542350), -1, 1.193605, 47.75280898876138, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938622500000007, 1.1935388500000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 37, 560068), -1, 1.1936, 47.45762711863939, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938622000000008, 1.1935388250000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 38, 583079), -1, 1.1936, 47.45762711863939, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938622000000008, 1.1935388250000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 39, 598241), -1, 1.193595, 47.15909090908417, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938621500000006, 1.1935388000000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 40, 624921), -1, 1.193585, 46.55172413792003, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938620500000006, 1.1935387500000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 41, 641878), -1, 1.1936, 47.45762711863939, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938622000000008, 1.1935388250000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 42, 661754), -1, 1.193555, 44.64285714284675, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938617500000006, 1.1935386000000006, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 43, 679033), -1, 1.19357, 45.614035087715656, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938619000000006, 1.1935386750000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 44, 698801), -1, 1.19359, 46.857142857134015, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938621000000007, 1.1935387750000006, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 45, 728906), -1, 1.193585, 46.55172413792003, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938620500000006, 1.1935387500000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
